
   Begin Kepler Problem

Problem Arguments:
  stepper:              0
  step mode:            0
  use compensated sums: 0
  dt:                   0.01
  Tf:                   100
  nout:                 1000

t = 0.0000, H(p,q) = -0.5000000000000000, L(p,q) = 0.8000000000000000
t = 2.5000, H(p,q)-H0 = 0.0000000021903985, L(p,q)-L0 = -0.0000000000000004
t = 2.6000, H(p,q)-H0 = 0.0000000021904330, L(p,q)-L0 = -0.0000000000000003
t = 2.7000, H(p,q)-H0 = 0.0000000021904595, L(p,q)-L0 = -0.0000000000000006
t = 2.8000, H(p,q)-H0 = 0.0000000021904794, L(p,q)-L0 = -0.0000000000000007
t = 2.9000, H(p,q)-H0 = 0.0000000021904932, L(p,q)-L0 = -0.0000000000000008
t = 3.0000, H(p,q)-H0 = 0.0000000021905022, L(p,q)-L0 = -0.0000000000000008
t = 3.1000, H(p,q)-H0 = 0.0000000021905060, L(p,q)-L0 = -0.0000000000000016
t = 3.2000, H(p,q)-H0 = 0.0000000021905054, L(p,q)-L0 = -0.0000000000000019
t = 3.3000, H(p,q)-H0 = 0.0000000021905004, L(p,q)-L0 = -0.0000000000000018
t = 3.4000, H(p,q)-H0 = 0.0000000021904906, L(p,q)-L0 = -0.0000000000000020
t = 3.5000, H(p,q)-H0 = 0.0000000021904755, L(p,q)-L0 = -0.0000000000000021
t = 3.6000, H(p,q)-H0 = 0.0000000021904544, L(p,q)-L0 = -0.0000000000000022
t = 3.7000, H(p,q)-H0 = 0.0000000021904261, L(p,q)-L0 = -0.0000000000000026
t = 3.8000, H(p,q)-H0 = 0.0000000021903898, L(p,q)-L0 = -0.0000000000000023
t = 3.9000, H(p,q)-H0 = 0.0000000021903431, L(p,q)-L0 = -0.0000000000000024
t = 4.0000, H(p,q)-H0 = 0.0000000021902835, L(p,q)-L0 = -0.0000000000000026
t = 4.1000, H(p,q)-H0 = 0.0000000021902075, L(p,q)-L0 = -0.0000000000000021
t = 4.2000, H(p,q)-H0 = 0.0000000021901092, L(p,q)-L0 = -0.0000000000000018
t = 4.3000, H(p,q)-H0 = 0.0000000021899808, L(p,q)-L0 = -0.0000000000000022
t = 4.4000, H(p,q)-H0 = 0.0000000021898121, L(p,q)-L0 = -0.0000000000000018
t = 4.5000, H(p,q)-H0 = 0.0000000021895855, L(p,q)-L0 = -0.0000000000000022
t = 4.6000, H(p,q)-H0 = 0.0000000021892767, L(p,q)-L0 = -0.0000000000000022
t = 4.7000, H(p,q)-H0 = 0.0000000021888460, L(p,q)-L0 = -0.0000000000000021
t = 4.8000, H(p,q)-H0 = 0.0000000021882305, L(p,q)-L0 = -0.0000000000000020
t = 4.9000, H(p,q)-H0 = 0.0000000021873248, L(p,q)-L0 = -0.0000000000000017
t = 5.0000, H(p,q)-H0 = 0.0000000021859475, L(p,q)-L0 = -0.0000000000000017
t = 5.1000, H(p,q)-H0 = 0.0000000021837739, L(p,q)-L0 = -0.0000000000000018
t = 5.2000, H(p,q)-H0 = 0.0000000021801948, L(p,q)-L0 = -0.0000000000000017
t = 5.3000, H(p,q)-H0 = 0.0000000021740074, L(p,q)-L0 = -0.0000000000000018
t = 5.4000, H(p,q)-H0 = 0.0000000021627112, L(p,q)-L0 = -0.0000000000000017
t = 5.5000, H(p,q)-H0 = 0.0000000021407837, L(p,q)-L0 = -0.0000000000000020
t = 5.6000, H(p,q)-H0 = 0.0000000020952701, L(p,q)-L0 = -0.0000000000000018
t = 5.7000, H(p,q)-H0 = 0.0000000019940063, L(p,q)-L0 = -0.0000000000000021
t = 5.8000, H(p,q)-H0 = 0.0000000017543397, L(p,q)-L0 = -0.0000000000000024
t = 5.9000, H(p,q)-H0 = 0.0000000011716919, L(p,q)-L0 = -0.0000000000000024
t = 6.0000, H(p,q)-H0 = -0.0000000001292921, L(p,q)-L0 = -0.0000000000000028
t = 6.1000, H(p,q)-H0 = -0.0000000019832644, L(p,q)-L0 = -0.0000000000000024
t = 6.2000, H(p,q)-H0 = -0.0000000015692083, L(p,q)-L0 = -0.0000000000000024
t = 6.3000, H(p,q)-H0 = -0.0000000000785492, L(p,q)-L0 = -0.0000000000000023
t = 6.4000, H(p,q)-H0 = -0.0000000021444535, L(p,q)-L0 = -0.0000000000000026
t = 6.5000, H(p,q)-H0 = -0.0000000014380235, L(p,q)-L0 = -0.0000000000000027
t = 6.6000, H(p,q)-H0 = 0.0000000003899563, L(p,q)-L0 = -0.0000000000000023
t = 6.7000, H(p,q)-H0 = 0.0000000014194250, L(p,q)-L0 = -0.0000000000000023
t = 6.8000, H(p,q)-H0 = 0.0000000018574048, L(p,q)-L0 = -0.0000000000000017
t = 6.9000, H(p,q)-H0 = 0.0000000020373458, L(p,q)-L0 = -0.0000000000000014
t = 7.0000, H(p,q)-H0 = 0.0000000021145609, L(p,q)-L0 = -0.0000000000000008
t = 7.1000, H(p,q)-H0 = 0.0000000021499782, L(p,q)-L0 = -0.0000000000000004
t = 7.2000, H(p,q)-H0 = 0.0000000021673986, L(p,q)-L0 = -0.0000000000000002
t = 7.3000, H(p,q)-H0 = 0.0000000021765503, L(p,q)-L0 = -0.0000000000000002
t = 7.4000, H(p,q)-H0 = 0.0000000021816533, L(p,q)-L0 = 0.0000000000000002
t = 7.5000, H(p,q)-H0 = 0.0000000021846533, L(p,q)-L0 = 0.0000000000000007
t = 7.6000, H(p,q)-H0 = 0.0000000021865008, L(p,q)-L0 = 0.0000000000000004
t = 7.7000, H(p,q)-H0 = 0.0000000021876867, L(p,q)-L0 = 0.0000000000000004
t = 7.8000, H(p,q)-H0 = 0.0000000021884756, L(p,q)-L0 = 0.0000000000000004
t = 7.9000, H(p,q)-H0 = 0.0000000021890174, L(p,q)-L0 = 0.0000000000000006
t = 8.0000, H(p,q)-H0 = 0.0000000021893999, L(p,q)-L0 = 0.0000000000000010
t = 8.1000, H(p,q)-H0 = 0.0000000021896761, L(p,q)-L0 = 0.0000000000000009
t = 8.2000, H(p,q)-H0 = 0.0000000021898795, L(p,q)-L0 = 0.0000000000000008
t = 8.3000, H(p,q)-H0 = 0.0000000021900325, L(p,q)-L0 = 0.0000000000000009
t = 8.4000, H(p,q)-H0 = 0.0000000021901491, L(p,q)-L0 = 0.0000000000000010
t = 8.5000, H(p,q)-H0 = 0.0000000021902389, L(p,q)-L0 = 0.0000000000000011
t = 8.6000, H(p,q)-H0 = 0.0000000021903087, L(p,q)-L0 = 0.0000000000000009
t = 8.7000, H(p,q)-H0 = 0.0000000021903636, L(p,q)-L0 = 0.0000000000000011
t = 8.8000, H(p,q)-H0 = 0.0000000021904061, L(p,q)-L0 = 0.0000000000000010
t = 8.9000, H(p,q)-H0 = 0.0000000021904393, L(p,q)-L0 = 0.0000000000000009
t = 9.0000, H(p,q)-H0 = 0.0000000021904647, L(p,q)-L0 = 0.0000000000000004
t = 9.1000, H(p,q)-H0 = 0.0000000021904831, L(p,q)-L0 = 0.0000000000000000
t = 9.2000, H(p,q)-H0 = 0.0000000021904960, L(p,q)-L0 = -0.0000000000000002
t = 9.3000, H(p,q)-H0 = 0.0000000021905042, L(p,q)-L0 = -0.0000000000000003
t = 9.4000, H(p,q)-H0 = 0.0000000021905078, L(p,q)-L0 = -0.0000000000000002
t = 9.5000, H(p,q)-H0 = 0.0000000021905066, L(p,q)-L0 = 0.0000000000000000
t = 9.6000, H(p,q)-H0 = 0.0000000021905008, L(p,q)-L0 = 0.0000000000000002
t = 9.7000, H(p,q)-H0 = 0.0000000021904900, L(p,q)-L0 = 0.0000000000000000
t = 9.8000, H(p,q)-H0 = 0.0000000021904742, L(p,q)-L0 = 0.0000000000000006
t = 9.9000, H(p,q)-H0 = 0.0000000021904522, L(p,q)-L0 = 0.0000000000000006
t = 10.0000, H(p,q)-H0 = 0.0000000021904231, L(p,q)-L0 = 0.0000000000000008
t = 10.1000, H(p,q)-H0 = 0.0000000021903852, L(p,q)-L0 = 0.0000000000000006
t = 10.2000, H(p,q)-H0 = 0.0000000021903366, L(p,q)-L0 = 0.0000000000000008
t = 10.3000, H(p,q)-H0 = 0.0000000021902746, L(p,q)-L0 = 0.0000000000000009
t = 10.4000, H(p,q)-H0 = 0.0000000021901951, L(p,q)-L0 = 0.0000000000000011
t = 10.5000, H(p,q)-H0 = 0.0000000021900923, L(p,q)-L0 = 0.0000000000000010
t = 10.6000, H(p,q)-H0 = 0.0000000021899583, L(p,q)-L0 = 0.0000000000000011
t = 10.7000, H(p,q)-H0 = 0.0000000021897812, L(p,q)-L0 = 0.0000000000000016
t = 10.8000, H(p,q)-H0 = 0.0000000021895435, L(p,q)-L0 = 0.0000000000000019
t = 10.9000, H(p,q)-H0 = 0.0000000021892176, L(p,q)-L0 = 0.0000000000000020
t = 11.0000, H(p,q)-H0 = 0.0000000021887611, L(p,q)-L0 = 0.0000000000000020
t = 11.1000, H(p,q)-H0 = 0.0000000021881056, L(p,q)-L0 = 0.0000000000000022
t = 11.2000, H(p,q)-H0 = 0.0000000021871360, L(p,q)-L0 = 0.0000000000000023
t = 11.3000, H(p,q)-H0 = 0.0000000021856529, L(p,q)-L0 = 0.0000000000000023
t = 11.4000, H(p,q)-H0 = 0.0000000021832968, L(p,q)-L0 = 0.0000000000000023
t = 11.5000, H(p,q)-H0 = 0.0000000021793864, L(p,q)-L0 = 0.0000000000000024
t = 11.6000, H(p,q)-H0 = 0.0000000021725675, L(p,q)-L0 = 0.0000000000000024
t = 11.7000, H(p,q)-H0 = 0.0000000021599945, L(p,q)-L0 = 0.0000000000000022
t = 11.8000, H(p,q)-H0 = 0.0000000021353220, L(p,q)-L0 = 0.0000000000000028
t = 11.9000, H(p,q)-H0 = 0.0000000020835074, L(p,q)-L0 = 0.0000000000000022
t = 12.0000, H(p,q)-H0 = 0.0000000019669100, L(p,q)-L0 = 0.0000000000000022
t = 12.1000, H(p,q)-H0 = 0.0000000016886921, L(p,q)-L0 = 0.0000000000000020
t = 12.2000, H(p,q)-H0 = 0.0000000010143850, L(p,q)-L0 = 0.0000000000000023
t = 12.3000, H(p,q)-H0 = -0.0000000004357736, L(p,q)-L0 = 0.0000000000000022
t = 12.4000, H(p,q)-H0 = -0.0000000021842232, L(p,q)-L0 = 0.0000000000000022
t = 12.5000, H(p,q)-H0 = -0.0000000011492758, L(p,q)-L0 = 0.0000000000000023
t = 12.6000, H(p,q)-H0 = -0.0000000003225991, L(p,q)-L0 = 0.0000000000000024
t = 12.7000, H(p,q)-H0 = -0.0000000022824569, L(p,q)-L0 = 0.0000000000000024
t = 12.8000, H(p,q)-H0 = -0.0000000011085746, L(p,q)-L0 = 0.0000000000000024
t = 12.9000, H(p,q)-H0 = 0.0000000006228686, L(p,q)-L0 = 0.0000000000000024
t = 13.0000, H(p,q)-H0 = 0.0000000015228507, L(p,q)-L0 = 0.0000000000000026
t = 13.1000, H(p,q)-H0 = 0.0000000018996709, L(p,q)-L0 = 0.0000000000000023
t = 13.2000, H(p,q)-H0 = 0.0000000020551160, L(p,q)-L0 = 0.0000000000000022
t = 13.3000, H(p,q)-H0 = 0.0000000021225143, L(p,q)-L0 = 0.0000000000000018
t = 13.4000, H(p,q)-H0 = 0.0000000021537955, L(p,q)-L0 = 0.0000000000000011
t = 13.5000, H(p,q)-H0 = 0.0000000021693588, L(p,q)-L0 = 0.0000000000000012
t = 13.6000, H(p,q)-H0 = 0.0000000021776211, L(p,q)-L0 = 0.0000000000000014
t = 13.7000, H(p,q)-H0 = 0.0000000021822713, L(p,q)-L0 = 0.0000000000000014
t = 13.8000, H(p,q)-H0 = 0.0000000021850281, L(p,q)-L0 = 0.0000000000000018
t = 13.9000, H(p,q)-H0 = 0.0000000021867388, L(p,q)-L0 = 0.0000000000000022
t = 14.0000, H(p,q)-H0 = 0.0000000021878430, L(p,q)-L0 = 0.0000000000000020
t = 14.1000, H(p,q)-H0 = 0.0000000021885820, L(p,q)-L0 = 0.0000000000000019
t = 14.2000, H(p,q)-H0 = 0.0000000021890917, L(p,q)-L0 = 0.0000000000000020
t = 14.3000, H(p,q)-H0 = 0.0000000021894530, L(p,q)-L0 = 0.0000000000000019
t = 14.4000, H(p,q)-H0 = 0.0000000021897152, L(p,q)-L0 = 0.0000000000000022
t = 14.5000, H(p,q)-H0 = 0.0000000021899093, L(p,q)-L0 = 0.0000000000000024
t = 14.6000, H(p,q)-H0 = 0.0000000021900552, L(p,q)-L0 = 0.0000000000000024
t = 14.7000, H(p,q)-H0 = 0.0000000021901674, L(p,q)-L0 = 0.0000000000000032
t = 14.8000, H(p,q)-H0 = 0.0000000021902533, L(p,q)-L0 = 0.0000000000000029
t = 14.9000, H(p,q)-H0 = 0.0000000021903204, L(p,q)-L0 = 0.0000000000000031
t = 15.0000, H(p,q)-H0 = 0.0000000021903728, L(p,q)-L0 = 0.0000000000000030
t = 15.1000, H(p,q)-H0 = 0.0000000021904137, L(p,q)-L0 = 0.0000000000000030
t = 15.2000, H(p,q)-H0 = 0.0000000021904455, L(p,q)-L0 = 0.0000000000000031
t = 15.3000, H(p,q)-H0 = 0.0000000021904695, L(p,q)-L0 = 0.0000000000000030
t = 15.4000, H(p,q)-H0 = 0.0000000021904875, L(p,q)-L0 = 0.0000000000000032
t = 15.5000, H(p,q)-H0 = 0.0000000021904996, L(p,q)-L0 = 0.0000000000000029
t = 15.6000, H(p,q)-H0 = 0.0000000021905063, L(p,q)-L0 = 0.0000000000000020
t = 15.7000, H(p,q)-H0 = 0.0000000021905089, L(p,q)-L0 = 0.0000000000000017
t = 15.8000, H(p,q)-H0 = 0.0000000021905071, L(p,q)-L0 = 0.0000000000000020
t = 15.9000, H(p,q)-H0 = 0.0000000021905004, L(p,q)-L0 = 0.0000000000000020
t = 16.0000, H(p,q)-H0 = 0.0000000021904886, L(p,q)-L0 = 0.0000000000000017
t = 16.1000, H(p,q)-H0 = 0.0000000021904715, L(p,q)-L0 = 0.0000000000000016
t = 16.2000, H(p,q)-H0 = 0.0000000021904482, L(p,q)-L0 = 0.0000000000000016
t = 16.3000, H(p,q)-H0 = 0.0000000021904181, L(p,q)-L0 = 0.0000000000000019
t = 16.4000, H(p,q)-H0 = 0.0000000021903783, L(p,q)-L0 = 0.0000000000000014
t = 16.5000, H(p,q)-H0 = 0.0000000021903276, L(p,q)-L0 = 0.0000000000000012
t = 16.6000, H(p,q)-H0 = 0.0000000021902630, L(p,q)-L0 = 0.0000000000000013
t = 16.7000, H(p,q)-H0 = 0.0000000021901800, L(p,q)-L0 = 0.0000000000000016
t = 16.8000, H(p,q)-H0 = 0.0000000021900730, L(p,q)-L0 = 0.0000000000000020
t = 16.9000, H(p,q)-H0 = 0.0000000021899325, L(p,q)-L0 = 0.0000000000000020
t = 17.0000, H(p,q)-H0 = 0.0000000021897464, L(p,q)-L0 = 0.0000000000000018
t = 17.1000, H(p,q)-H0 = 0.0000000021894955, L(p,q)-L0 = 0.0000000000000018
t = 17.2000, H(p,q)-H0 = 0.0000000021891514, L(p,q)-L0 = 0.0000000000000021
t = 17.3000, H(p,q)-H0 = 0.0000000021886670, L(p,q)-L0 = 0.0000000000000020
t = 17.4000, H(p,q)-H0 = 0.0000000021879680, L(p,q)-L0 = 0.0000000000000017
t = 17.5000, H(p,q)-H0 = 0.0000000021869294, L(p,q)-L0 = 0.0000000000000020
t = 17.6000, H(p,q)-H0 = 0.0000000021853308, L(p,q)-L0 = 0.0000000000000020
t = 17.7000, H(p,q)-H0 = 0.0000000021827730, L(p,q)-L0 = 0.0000000000000020
t = 17.8000, H(p,q)-H0 = 0.0000000021784950, L(p,q)-L0 = 0.0000000000000021
t = 17.9000, H(p,q)-H0 = 0.0000000021709682, L(p,q)-L0 = 0.0000000000000022
t = 18.0000, H(p,q)-H0 = 0.0000000021569497, L(p,q)-L0 = 0.0000000000000022
t = 18.1000, H(p,q)-H0 = 0.0000000021291338, L(p,q)-L0 = 0.0000000000000024
t = 18.2000, H(p,q)-H0 = 0.0000000020700305, L(p,q)-L0 = 0.0000000000000020
t = 18.3000, H(p,q)-H0 = 0.0000000019355451, L(p,q)-L0 = 0.0000000000000018
t = 18.4000, H(p,q)-H0 = 0.0000000016123738, L(p,q)-L0 = 0.0000000000000019
t = 18.5000, H(p,q)-H0 = 0.0000000008341943, L(p,q)-L0 = 0.0000000000000017
t = 18.6000, H(p,q)-H0 = -0.0000000007602392, L(p,q)-L0 = 0.0000000000000018
t = 18.7000, H(p,q)-H0 = -0.0000000022936391, L(p,q)-L0 = 0.0000000000000017
t = 18.8000, H(p,q)-H0 = -0.0000000007197518, L(p,q)-L0 = 0.0000000000000013
t = 18.9000, H(p,q)-H0 = -0.0000000006891667, L(p,q)-L0 = 0.0000000000000012
t = 19.0000, H(p,q)-H0 = -0.0000000022938584, L(p,q)-L0 = 0.0000000000000012
t = 19.1000, H(p,q)-H0 = -0.0000000007742569, L(p,q)-L0 = 0.0000000000000013
t = 19.2000, H(p,q)-H0 = 0.0000000008292620, L(p,q)-L0 = 0.0000000000000008
t = 19.3000, H(p,q)-H0 = 0.0000000016119190, L(p,q)-L0 = 0.0000000000000008
t = 19.4000, H(p,q)-H0 = 0.0000000019360704, L(p,q)-L0 = 0.0000000000000010
t = 19.5000, H(p,q)-H0 = 0.0000000020705563, L(p,q)-L0 = 0.0000000000000016
t = 19.6000, H(p,q)-H0 = 0.0000000021295040, L(p,q)-L0 = 0.0000000000000018
t = 19.7000, H(p,q)-H0 = 0.0000000021571889, L(p,q)-L0 = 0.0000000000000014
t = 19.8000, H(p,q)-H0 = 0.0000000021711196, L(p,q)-L0 = 0.0000000000000019
t = 19.9000, H(p,q)-H0 = 0.0000000021785913, L(p,q)-L0 = 0.0000000000000020
t = 20.0000, H(p,q)-H0 = 0.0000000021828354, L(p,q)-L0 = 0.0000000000000023
t = 20.1000, H(p,q)-H0 = 0.0000000021853712, L(p,q)-L0 = 0.0000000000000021
t = 20.2000, H(p,q)-H0 = 0.0000000021869562, L(p,q)-L0 = 0.0000000000000021
t = 20.3000, H(p,q)-H0 = 0.0000000021879860, L(p,q)-L0 = 0.0000000000000018
t = 20.4000, H(p,q)-H0 = 0.0000000021886788, L(p,q)-L0 = 0.0000000000000018
t = 20.5000, H(p,q)-H0 = 0.0000000021891593, L(p,q)-L0 = 0.0000000000000020
t = 20.6000, H(p,q)-H0 = 0.0000000021895015, L(p,q)-L0 = 0.0000000000000026
t = 20.7000, H(p,q)-H0 = 0.0000000021897504, L(p,q)-L0 = 0.0000000000000026
t = 20.8000, H(p,q)-H0 = 0.0000000021899352, L(p,q)-L0 = 0.0000000000000023
t = 20.9000, H(p,q)-H0 = 0.0000000021900748, L(p,q)-L0 = 0.0000000000000029
t = 21.0000, H(p,q)-H0 = 0.0000000021901817, L(p,q)-L0 = 0.0000000000000031
t = 21.1000, H(p,q)-H0 = 0.0000000021902642, L(p,q)-L0 = 0.0000000000000031
t = 21.2000, H(p,q)-H0 = 0.0000000021903285, L(p,q)-L0 = 0.0000000000000031
t = 21.3000, H(p,q)-H0 = 0.0000000021903787, L(p,q)-L0 = 0.0000000000000028
t = 21.4000, H(p,q)-H0 = 0.0000000021904180, L(p,q)-L0 = 0.0000000000000030
t = 21.5000, H(p,q)-H0 = 0.0000000021904483, L(p,q)-L0 = 0.0000000000000029
t = 21.6000, H(p,q)-H0 = 0.0000000021904710, L(p,q)-L0 = 0.0000000000000024
t = 21.7000, H(p,q)-H0 = 0.0000000021904880, L(p,q)-L0 = 0.0000000000000026
t = 21.8000, H(p,q)-H0 = 0.0000000021904994, L(p,q)-L0 = 0.0000000000000027
t = 21.9000, H(p,q)-H0 = 0.0000000021905060, L(p,q)-L0 = 0.0000000000000027
t = 22.0000, H(p,q)-H0 = 0.0000000021905077, L(p,q)-L0 = 0.0000000000000024
t = 22.1000, H(p,q)-H0 = 0.0000000021905051, L(p,q)-L0 = 0.0000000000000027
t = 22.2000, H(p,q)-H0 = 0.0000000021904976, L(p,q)-L0 = 0.0000000000000028
t = 22.3000, H(p,q)-H0 = 0.0000000021904854, L(p,q)-L0 = 0.0000000000000028
t = 22.4000, H(p,q)-H0 = 0.0000000021904675, L(p,q)-L0 = 0.0000000000000029
t = 22.5000, H(p,q)-H0 = 0.0000000021904432, L(p,q)-L0 = 0.0000000000000028
t = 22.6000, H(p,q)-H0 = 0.0000000021904113, L(p,q)-L0 = 0.0000000000000032
t = 22.7000, H(p,q)-H0 = 0.0000000021903700, L(p,q)-L0 = 0.0000000000000031
t = 22.8000, H(p,q)-H0 = 0.0000000021903174, L(p,q)-L0 = 0.0000000000000029
t = 22.9000, H(p,q)-H0 = 0.0000000021902499, L(p,q)-L0 = 0.0000000000000030
t = 23.0000, H(p,q)-H0 = 0.0000000021901633, L(p,q)-L0 = 0.0000000000000031
t = 23.1000, H(p,q)-H0 = 0.0000000021900513, L(p,q)-L0 = 0.0000000000000034
t = 23.2000, H(p,q)-H0 = 0.0000000021899044, L(p,q)-L0 = 0.0000000000000036
t = 23.3000, H(p,q)-H0 = 0.0000000021897089, L(p,q)-L0 = 0.0000000000000031
t = 23.4000, H(p,q)-H0 = 0.0000000021894446, L(p,q)-L0 = 0.0000000000000031
t = 23.5000, H(p,q)-H0 = 0.0000000021890804, L(p,q)-L0 = 0.0000000000000030
t = 23.6000, H(p,q)-H0 = 0.0000000021885663, L(p,q)-L0 = 0.0000000000000030
t = 23.7000, H(p,q)-H0 = 0.0000000021878209, L(p,q)-L0 = 0.0000000000000026
t = 23.8000, H(p,q)-H0 = 0.0000000021867065, L(p,q)-L0 = 0.0000000000000024
t = 23.9000, H(p,q)-H0 = 0.0000000021849813, L(p,q)-L0 = 0.0000000000000023
t = 24.0000, H(p,q)-H0 = 0.0000000021822015, L(p,q)-L0 = 0.0000000000000022
t = 24.1000, H(p,q)-H0 = 0.0000000021775146, L(p,q)-L0 = 0.0000000000000024
t = 24.2000, H(p,q)-H0 = 0.0000000021691927, L(p,q)-L0 = 0.0000000000000024
t = 24.3000, H(p,q)-H0 = 0.0000000021535347, L(p,q)-L0 = 0.0000000000000026
t = 24.4000, H(p,q)-H0 = 0.0000000021221145, L(p,q)-L0 = 0.0000000000000027
t = 24.5000, H(p,q)-H0 = 0.0000000020545646, L(p,q)-L0 = 0.0000000000000027
t = 24.6000, H(p,q)-H0 = 0.0000000018991955, L(p,q)-L0 = 0.0000000000000024
t = 24.7000, H(p,q)-H0 = 0.0000000015237049, L(p,q)-L0 = 0.0000000000000018
t = 24.8000, H(p,q)-H0 = 0.0000000006291418, L(p,q)-L0 = 0.0000000000000020
t = 24.9000, H(p,q)-H0 = -0.0000000010937447, L(p,q)-L0 = 0.0000000000000016
t = 25.0000, H(p,q)-H0 = -0.0000000022899942, L(p,q)-L0 = 0.0000000000000017
t = 25.1000, H(p,q)-H0 = -0.0000000003464102, L(p,q)-L0 = 0.0000000000000018
t = 25.2000, H(p,q)-H0 = -0.0000000011168177, L(p,q)-L0 = 0.0000000000000011
t = 25.3000, H(p,q)-H0 = -0.0000000021907172, L(p,q)-L0 = 0.0000000000000013
t = 25.4000, H(p,q)-H0 = -0.0000000004484475, L(p,q)-L0 = 0.0000000000000016
t = 25.5000, H(p,q)-H0 = 0.0000000010106107, L(p,q)-L0 = 0.0000000000000021
t = 25.6000, H(p,q)-H0 = 0.0000000016885500, L(p,q)-L0 = 0.0000000000000023
t = 25.7000, H(p,q)-H0 = 0.0000000019674671, L(p,q)-L0 = 0.0000000000000024
t = 25.8000, H(p,q)-H0 = 0.0000000020840091, L(p,q)-L0 = 0.0000000000000028
t = 25.9000, H(p,q)-H0 = 0.0000000021356669, L(p,q)-L0 = 0.0000000000000030
t = 26.0000, H(p,q)-H0 = 0.0000000021602167, L(p,q)-L0 = 0.0000000000000033
t = 26.1000, H(p,q)-H0 = 0.0000000021727081, L(p,q)-L0 = 0.0000000000000034
t = 26.2000, H(p,q)-H0 = 0.0000000021794757, L(p,q)-L0 = 0.0000000000000031
t = 26.3000, H(p,q)-H0 = 0.0000000021833548, L(p,q)-L0 = 0.0000000000000031
t = 26.4000, H(p,q)-H0 = 0.0000000021856916, L(p,q)-L0 = 0.0000000000000034
t = 26.5000, H(p,q)-H0 = 0.0000000021871618, L(p,q)-L0 = 0.0000000000000036
t = 26.6000, H(p,q)-H0 = 0.0000000021881231, L(p,q)-L0 = 0.0000000000000033
t = 26.7000, H(p,q)-H0 = 0.0000000021887731, L(p,q)-L0 = 0.0000000000000033
t = 26.8000, H(p,q)-H0 = 0.0000000021892259, L(p,q)-L0 = 0.0000000000000032
t = 26.9000, H(p,q)-H0 = 0.0000000021895493, L(p,q)-L0 = 0.0000000000000032
t = 27.0000, H(p,q)-H0 = 0.0000000021897855, L(p,q)-L0 = 0.0000000000000033
t = 27.1000, H(p,q)-H0 = 0.0000000021899614, L(p,q)-L0 = 0.0000000000000030
t = 27.2000, H(p,q)-H0 = 0.0000000021900946, L(p,q)-L0 = 0.0000000000000028
t = 27.3000, H(p,q)-H0 = 0.0000000021901967, L(p,q)-L0 = 0.0000000000000028
t = 27.4000, H(p,q)-H0 = 0.0000000021902758, L(p,q)-L0 = 0.0000000000000030
t = 27.5000, H(p,q)-H0 = 0.0000000021903375, L(p,q)-L0 = 0.0000000000000029
