
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Time-dependent mass matrix
    ERK solver, order = 8
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
    1.000000    1.127010    1.685666  9.50e-09  3.53e-10
    1.100000    1.107609    1.700355  9.75e-09  3.06e-10
    1.200000    1.086821    1.712320  1.00e-08  2.63e-10
    1.300000    1.064777    1.721499  1.04e-08  2.23e-10
    1.400000    1.041625    1.727845  1.07e-08  1.85e-10
    1.500000    1.017531    1.731328  1.11e-08  1.52e-10
    1.600000    0.992673    1.731928  1.14e-08  1.24e-10
    1.700000    0.967253    1.729643  1.16e-08  1.06e-10
    1.800000    0.941488    1.724485  1.16e-08  1.01e-10
    1.900000    0.915617    1.716479  1.13e-08  1.16e-10
    2.000000    0.889903    1.705666  1.05e-08  1.63e-10
    2.100000    0.864625    1.692102  8.92e-09  2.52e-10
    2.200000    0.840089    1.675857  6.33e-09  3.98e-10
    2.300000    0.816616    1.657017  2.42e-09  6.17e-10
    2.400000    0.794546    1.635684  3.04e-09  9.19e-10
    2.500000    0.774227    1.611978  1.02e-08  1.31e-09
    2.600000    0.756013    1.586033  1.88e-08  1.79e-09
    2.700000    0.740246    1.558005  2.85e-08  2.31e-09
    2.800000    0.727247    1.528067  3.83e-08  2.85e-09
    2.900000    0.717301    1.496412  4.71e-08  3.33e-09
    3.000000    0.710636    1.463257  5.36e-08  3.70e-09
    3.100000    0.707413    1.428839  5.66e-08  3.88e-09
    3.200000    0.707709    1.393422  5.57e-08  3.86e-09
    3.300000    0.711520    1.357297  5.10e-08  3.64e-09
    3.400000    0.718750    1.320780  4.34e-08  3.27e-09
    3.500000    0.729227    1.284218  3.41e-08  2.78e-09
    3.600000    0.742712    1.247990  2.43e-08  2.23e-09
    3.700000    0.758914    1.212503  1.50e-08  1.64e-09
    3.800000    0.777506    1.178194  7.03e-09  1.01e-09
    3.900000    0.798144    1.145528  4.85e-10  3.38e-10
    4.000000    0.820474    1.114988  4.60e-09  4.26e-10
    4.100000    0.844149    1.087071  8.42e-09  1.31e-09
    4.200000    0.868832    1.062273  1.12e-08  2.33e-09
    4.300000    0.894204    1.041074  1.32e-08  3.48e-09
    4.400000    0.919964    1.023913  1.46e-08  4.67e-09
    4.500000    0.945834    1.011173  1.54e-08  5.78e-09
    4.600000    0.971557    1.003150  1.58e-08  6.65e-09
    4.700000    0.996898    1.000038  1.58e-08  7.12e-09
    4.800000    1.021641    1.001916  1.54e-08  7.06e-09
    4.900000    1.045589    1.008736  1.47e-08  6.49e-09
    5.000000    1.068565    1.020331  1.38e-08  5.47e-09
    5.100000    1.090408    1.036429  1.29e-08  4.19e-09
    5.200000    1.110972    1.056667  1.20e-08  2.84e-09
    5.300000    1.130127    1.080617  1.12e-08  1.57e-09
    5.400000    1.147757    1.107807  1.05e-08  4.94e-10
    5.500000    1.163759    1.137743  9.95e-09  3.32e-10
    5.600000    1.178042    1.169929  9.54e-09  9.10e-10
    5.700000    1.190528    1.203875  9.24e-09  1.27e-09
    5.800000    1.201149    1.239112  9.03e-09  1.46e-09
    5.900000    1.209851    1.275195  8.89e-09  1.52e-09
    6.000000    1.216587    1.311711  8.80e-09  1.50e-09
    6.100000    1.221325    1.348272  8.75e-09  1.42e-09
    6.200000    1.224039    1.384525  8.72e-09  1.31e-09
    6.300000    1.224716    1.420146  8.70e-09  1.19e-09
    6.400000    1.223353    1.454836  8.70e-09  1.07e-09
    6.500000    1.219956    1.488328  8.72e-09  9.53e-10
    6.600000    1.214544    1.520375  8.74e-09  8.44e-10
    6.700000    1.207142    1.550758  8.78e-09  7.47e-10
    6.800000    1.197789    1.579276  8.84e-09  6.59e-10
    6.900000    1.186534    1.605752  8.92e-09  5.81e-10
    7.000000    1.173436    1.630027  9.03e-09  5.12e-10
   ------------------------------------------------------

Final Solver Statistics:
   Internal solver steps = 103 (attempted = 103)
   Total number of error test failures = 0
   Total RHS evals:  Fe = 1742,  Fi = 0
   Total mass matrix setups = 1439
   Total mass matrix solves = 1742
   Total mass times evals = 103
   Errors: u = 1.83418e-08, v = 2.86413e-09, total = 1.31268e-08
